round,stadium,home_team,home_score,away_score,away_team,year,pontos
1,Pacaembu,Corinthians,0.0,3.0,Atlético-MG,2003,3
2,Mineirão,Atlético-MG,0.0,0.0,Santos,2003,1
3,Ligga Arena,Athletico-PR,1.0,2.0,Atlético-MG,2003,3
4,Mineirão,Atlético-MG,3.0,2.0,Guarani,2003,3
5,Itaipava Arena Fonte Nova,Bahia,2.0,4.0,Atlético-MG,2003,3
6,Mineirão,Atlético-MG,1.0,2.0,Coritiba,2003,0
7,Moisés Lucarelli,Ponte Preta,2.0,1.0,Atlético-MG,2003,0
8,Mineirão,Atlético-MG,2.0,2.0,São Paulo,2003,1
9,Anacleto Campanella,São Caetano,2.0,0.0,Atlético-MG,2003,0
10,Independência,Atlético-MG,3.0,0.0,Fluminense,2003,3
11,São Januário,Vasco,2.0,2.0,Atlético-MG,2003,1
12,Independência,Atlético-MG,1.0,1.0,Figueirense,2003,1
13,Mineirão,Cruzeiro,0.0,0.0,Atlético-MG,2003,1
14,Mineirão,Atlético-MG,3.0,2.0,Grêmio,2003,3
15,Pinheirão (PR),Paraná,1.0,1.0,Atlético-MG,2003,1
16,Mineirão,Atlético-MG,3.0,2.0,Paysandu,2003,3
17,Heriberto Hülse,Criciúma,1.0,0.0,Atlético-MG,2003,0
18,Mineirão,Atlético-MG,1.0,0.0,Flamengo,2003,3
19,Beira-Rio,Internacional,3.0,3.0,Atlético-MG,2003,1
20,Castelão (CE),Fortaleza,4.0,3.0,Atlético-MG,2003,0
21,Mineirão,Atlético-MG,2.0,1.0,Juventude,2003,3
22,Serra Dourada,Goiás,1.0,1.0,Atlético-MG,2003,1
23,Mineirão,Atlético-MG,1.0,0.0,Vitória,2003,3
24,Vila Belmiro,Santos,3.0,3.0,Atlético-MG,2003,1
25,Mineirão,Atlético-MG,2.0,3.0,Corinthians,2003,0
26,Mineirão,Atlético-MG,1.0,2.0,Athletico-PR,2003,0
27,Brinco de Ouro,Guarani,2.0,2.0,Atlético-MG,2003,1
28,Mineirão,Atlético-MG,1.0,0.0,Bahia,2003,3
29,Couto Pereira,Coritiba,2.0,2.0,Atlético-MG,2003,1
30,Independência,Atlético-MG,2.0,0.0,Ponte Preta,2003,3
31,Morumbi,São Paulo,2.0,2.0,Atlético-MG,2003,1
32,Independência,Atlético-MG,3.0,1.0,São Caetano,2003,3
33,Giulite Coutinho,Fluminense,0.0,1.0,Atlético-MG,2003,3
34,Independência,Atlético-MG,2.0,1.0,Vasco,2003,3
35,Orlando Scarpelli,Figueirense,0.0,1.0,Atlético-MG,2003,3
36,Mineirão,Atlético-MG,0.0,1.0,Cruzeiro,2003,0
37,Olímpico,Grêmio,2.0,2.0,Atlético-MG,2003,1
38,Independência,Atlético-MG,2.0,2.0,Paraná,2003,1
39,Mangueirão,Paysandu,1.0,0.0,Atlético-MG,2003,0
40,Independência,Atlético-MG,1.0,1.0,Criciúma,2003,1
41,Maracanã,Flamengo,3.0,2.0,Atlético-MG,2003,0
42,Independência,Atlético-MG,1.0,2.0,Internacional,2003,0
43,Ipatingão,Atlético-MG,2.0,0.0,Fortaleza,2003,3
44,Alfredo Jaconi,Juventude,1.0,0.0,Atlético-MG,2003,0
45,Barradão,Vitória,0.0,1.0,Atlético-MG,2003,3
46,Ipatingão,Atlético-MG,3.0,2.0,Goiás,2003,3
1,Palestra Itália,Palmeiras,0.0,0.0,Atlético-MG,2004,1
2,Mineirão,Atlético-MG,1.0,1.0,Vasco,2004,1
3,Caio Martins,Botafogo,2.0,2.0,Atlético-MG,2004,1
4,Independência,Atlético-MG,1.0,2.0,Ponte Preta,2004,0
5,Mineirão,Atlético-MG,2.0,2.0,Corinthians,2004,1
6,Alfredo Jaconi,Juventude,1.0,1.0,Atlético-MG,2004,1
7,Couto Pereira,Coritiba,0.0,1.0,Atlético-MG,2004,3
8,Mineirão,Atlético-MG,3.0,3.0,Santos,2004,1
9,Beira-Rio,Internacional,4.0,1.0,Atlético-MG,2004,0
10,Mineirão,Atlético-MG,2.0,1.0,Fluminense,2004,3
11,Mineirão,Atlético-MG,0.0,1.0,Athletico-PR,2004,0
12,Brinco de Ouro,Guarani,1.0,1.0,Atlético-MG,2004,1
13,Morumbi,São Paulo,1.0,0.0,Atlético-MG,2004,0
14,Mineirão,Atlético-MG,2.0,0.0,Cruzeiro,2004,3
15,Mineirão,Atlético-MG,1.0,1.0,Vitória,2004,1
16,Heriberto Hülse,Criciúma,4.0,2.0,Atlético-MG,2004,0
17,Mineirão,Atlético-MG,0.0,2.0,Goiás,2004,0
18,Raulino de Oliveira,Flamengo,0.0,0.0,Atlético-MG,2004,1
19,Mineirão,Atlético-MG,4.0,1.0,Paraná,2004,3
20,Independência,Atlético-MG,3.0,1.0,Figueirense,2004,3
21,Mangueirão,Paysandu,2.0,1.0,Atlético-MG,2004,0
22,Independência,Atlético-MG,3.0,0.0,Grêmio,2004,3
23,Anacleto Campanella,São Caetano,1.0,1.0,Atlético-MG,2004,1
24,Mineirão,Atlético-MG,1.0,2.0,Palmeiras,2004,0
25,São Januário,Vasco,3.0,0.0,Atlético-MG,2004,0
26,Independência,Atlético-MG,1.0,1.0,Botafogo,2004,1
27,Moisés Lucarelli,Ponte Preta,1.0,1.0,Atlético-MG,2004,1
28,Pacaembu,Corinthians,1.0,0.0,Atlético-MG,2004,0
29,Mineirão,Atlético-MG,1.0,1.0,Juventude,2004,1
30,Mineirão,Atlético-MG,2.0,1.0,Coritiba,2004,3
31,Vila Belmiro,Santos,2.0,0.0,Atlético-MG,2004,0
32,Mineirão,Atlético-MG,1.0,1.0,Internacional,2004,1
33,Maracanã,Fluminense,1.0,1.0,Atlético-MG,2004,1
34,Ligga Arena,Athletico-PR,5.0,0.0,Atlético-MG,2004,0
35,Independência,Atlético-MG,3.0,2.0,Guarani,2004,3
36,Independência,Atlético-MG,0.0,5.0,São Paulo,2004,0
37,Mineirão,Cruzeiro,0.0,3.0,Atlético-MG,2004,3
38,Barradão,Vitória,2.0,1.0,Atlético-MG,2004,0
39,Morumbi,Atlético-MG,2.0,2.0,Criciúma,2004,1
40,Serra Dourada,Goiás,1.0,0.0,Atlético-MG,2004,0
41,Ipatingão,Atlético-MG,6.0,1.0,Flamengo,2004,3
42,Pinheirão (PR),Paraná,1.0,0.0,Atlético-MG,2004,0
43,Santa Cruz,Figueirense,2.0,1.0,Atlético-MG,2004,0
